MeasureName,PaymentType,MonthYear,M_Value,TransType
volume_k,Cash,JAN 2010,19355.0,Bill Pay
volume_k,Cheque,JAN 2010,150.0,Bill Pay
volume_k,Others,JAN 2010,419.0,Bill Pay
value_b,Cash,JAN 2010,167.0,Bill Pay
value_b,Cheque,JAN 2010,141.0,Bill Pay
value_b,Others,JAN 2010,88.0,Bill Pay
volume_k,Cash,FEB 2010,18503.0,Bill Pay
volume_k,Cheque,FEB 2010,145.0,Bill Pay
volume_k,Others,FEB 2010,419.0,Bill Pay
value_b,Cash,FEB 2010,160.0,Bill Pay
value_b,Cheque,FEB 2010,153.0,Bill Pay
value_b,Others,FEB 2010,97.0,Bill Pay
volume_k,Cash,MAR 2010,21095.0,Bill Pay
volume_k,Cheque,MAR 2010,166.0,Bill Pay
volume_k,Others,MAR 2010,657.0,Bill Pay
value_b,Cash,MAR 2010,193.0,Bill Pay
value_b,Cheque,MAR 2010,196.0,Bill Pay
value_b,Others,MAR 2010,117.0,Bill Pay
volume_k,Cash,APR 2010,20047.0,Bill Pay
volume_k,Cheque,APR 2010,145.0,Bill Pay
volume_k,Others,APR 2010,373.0,Bill Pay
value_b,Cash,APR 2010,173.0,Bill Pay
value_b,Cheque,APR 2010,197.0,Bill Pay
value_b,Others,APR 2010,103.0,Bill Pay
volume_k,Cash,MAY 2010,21463.0,Bill Pay
volume_k,Cheque,MAY 2010,142.0,Bill Pay
volume_k,Others,MAY 2010,375.0,Bill Pay
value_b,Cash,MAY 2010,175.0,Bill Pay
value_b,Cheque,MAY 2010,163.0,Bill Pay
value_b,Others,MAY 2010,98.0,Bill Pay
volume_k,Cash,JUN 2010,21390.0,Bill Pay
volume_k,Cheque,JUN 2010,173.0,Bill Pay
volume_k,Others,JUN 2010,451.0,Bill Pay
value_b,Cash,JUN 2010,205.0,Bill Pay
value_b,Cheque,JUN 2010,211.0,Bill Pay
value_b,Others,JUN 2010,135.0,Bill Pay
volume_k,Cash,JUL 2010,21201.0,Bill Pay
volume_k,Cheque,JUL 2010,159.0,Bill Pay
volume_k,Others,JUL 2010,408.0,Bill Pay
value_b,Cash,JUL 2010,178.0,Bill Pay
value_b,Cheque,JUL 2010,171.0,Bill Pay
value_b,Others,JUL 2010,97.0,Bill Pay
