MeasureName,UsageType,MonthYear,M_Value,TransType
volume_k,Cash withdrawal,JAN 2016,1279.0,Foreign-TH
volume_k,Cash advance,JAN 2016,1147.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,JAN 2016,3091.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,JAN 2016,267.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,JAN 2016,561.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,JAN 2016,32.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,JAN 2016,27.0,Foreign-TH
value_m,Cash withdrawal,JAN 2016,7385.0,Foreign-TH
value_m,Cash advance,JAN 2016,8221.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,JAN 2016,20228.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,JAN 2016,2105.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,JAN 2016,3018.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,JAN 2016,196.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,JAN 2016,86.0,Foreign-TH
volume_k,Cash withdrawal,FEB 2016,1186.0,Foreign-TH
volume_k,Cash advance,FEB 2016,1068.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,FEB 2016,3238.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,FEB 2016,245.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,FEB 2016,474.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,FEB 2016,29.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,FEB 2016,37.0,Foreign-TH
value_m,Cash withdrawal,FEB 2016,6624.0,Foreign-TH
value_m,Cash advance,FEB 2016,7526.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,FEB 2016,20780.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,FEB 2016,1843.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,FEB 2016,2452.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,FEB 2016,165.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,FEB 2016,122.0,Foreign-TH
volume_k,Cash withdrawal,MAR 2016,1210.0,Foreign-TH
volume_k,Cash advance,MAR 2016,1083.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,MAR 2016,2902.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,MAR 2016,260.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,MAR 2016,462.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,MAR 2016,29.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,MAR 2016,40.0,Foreign-TH
value_m,Cash withdrawal,MAR 2016,6554.0,Foreign-TH
value_m,Cash advance,MAR 2016,7331.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,MAR 2016,18317.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,MAR 2016,1992.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,MAR 2016,2314.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,MAR 2016,174.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,MAR 2016,131.0,Foreign-TH
volume_k,Cash withdrawal,APR 2016,1133.0,Foreign-TH
volume_k,Cash advance,APR 2016,947.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,APR 2016,2639.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,APR 2016,225.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,APR 2016,379.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,APR 2016,27.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,APR 2016,68.0,Foreign-TH
value_m,Cash withdrawal,APR 2016,6006.0,Foreign-TH
value_m,Cash advance,APR 2016,6376.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,APR 2016,15623.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,APR 2016,1655.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,APR 2016,1937.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,APR 2016,149.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,APR 2016,263.0,Foreign-TH
volume_k,Cash withdrawal,MAY 2016,1107.0,Foreign-TH
volume_k,Cash advance,MAY 2016,852.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,MAY 2016,2342.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,MAY 2016,200.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,MAY 2016,350.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,MAY 2016,27.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,MAY 2016,232.0,Foreign-TH
value_m,Cash withdrawal,MAY 2016,5680.0,Foreign-TH
value_m,Cash advance,MAY 2016,5552.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,MAY 2016,14176.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,MAY 2016,1644.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,MAY 2016,1754.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,MAY 2016,152.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,MAY 2016,699.0,Foreign-TH
volume_k,Cash withdrawal,JUN 2016,976.0,Foreign-TH
volume_k,Cash advance,JUN 2016,751.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,JUN 2016,2185.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,JUN 2016,212.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,JUN 2016,307.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,JUN 2016,29.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,JUN 2016,170.0,Foreign-TH
value_m,Cash withdrawal,JUN 2016,5003.0,Foreign-TH
value_m,Cash advance,JUN 2016,4866.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,JUN 2016,12748.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,JUN 2016,1728.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,JUN 2016,1482.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,JUN 2016,161.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,JUN 2016,292.0,Foreign-TH
volume_k,Cash withdrawal,JUL 2016,1040.0,Foreign-TH
volume_k,Cash advance,JUL 2016,885.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,JUL 2016,2518.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,JUL 2016,239.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,JUL 2016,392.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,JUL 2016,31.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,JUL 2016,169.0,Foreign-TH
value_m,Cash withdrawal,JUL 2016,5507.0,Foreign-TH
value_m,Cash advance,JUL 2016,6024.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,JUL 2016,14927.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,JUL 2016,1920.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,JUL 2016,1933.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,JUL 2016,183.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,JUL 2016,258.0,Foreign-TH
volume_k,Cash withdrawal,AUG 2016,1057.0,Foreign-TH
volume_k,Cash advance,AUG 2016,894.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,AUG 2016,2758.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,AUG 2016,257.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,AUG 2016,425.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,AUG 2016,35.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,AUG 2016,126.0,Foreign-TH
value_m,Cash withdrawal,AUG 2016,5492.0,Foreign-TH
value_m,Cash advance,AUG 2016,6010.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,AUG 2016,15932.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,AUG 2016,2073.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,AUG 2016,2107.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,AUG 2016,240.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,AUG 2016,256.0,Foreign-TH
volume_k,Cash withdrawal,SEP 2016,966.0,Foreign-TH
volume_k,Cash advance,SEP 2016,764.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,SEP 2016,2303.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,SEP 2016,251.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,SEP 2016,326.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,SEP 2016,35.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,SEP 2016,144.0,Foreign-TH
value_m,Cash withdrawal,SEP 2016,4926.0,Foreign-TH
value_m,Cash advance,SEP 2016,5033.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,SEP 2016,12993.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,SEP 2016,2162.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,SEP 2016,1586.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,SEP 2016,248.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,SEP 2016,286.0,Foreign-TH
volume_k,Cash withdrawal,OCT 2016,980.0,Foreign-TH
volume_k,Cash advance,OCT 2016,793.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,OCT 2016,2408.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,OCT 2016,276.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,OCT 2016,362.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,OCT 2016,37.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,OCT 2016,209.0,Foreign-TH
value_m,Cash withdrawal,OCT 2016,5090.0,Foreign-TH
value_m,Cash advance,OCT 2016,5357.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,OCT 2016,13734.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,OCT 2016,2309.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,OCT 2016,1735.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,OCT 2016,262.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,OCT 2016,319.0,Foreign-TH
volume_k,Cash withdrawal,NOV 2016,937.0,Foreign-TH
volume_k,Cash advance,NOV 2016,843.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,NOV 2016,2550.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,NOV 2016,300.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,NOV 2016,444.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,NOV 2016,40.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,NOV 2016,187.0,Foreign-TH
value_m,Cash withdrawal,NOV 2016,5088.0,Foreign-TH
value_m,Cash advance,NOV 2016,5903.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,NOV 2016,14863.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,NOV 2016,2352.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,NOV 2016,2123.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,NOV 2016,270.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,NOV 2016,300.0,Foreign-TH
volume_k,Cash withdrawal,DEC 2016,1088,Foreign-TH
volume_k,Cash advance,DEC 2016,970,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,DEC 2016,2996,Foreign-TH
volume_k,Purchasing via online channels by credit cards,DEC 2016,313,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,DEC 2016,566,Foreign-TH
volume_k,Purchasing via online channels by debit cards,DEC 2016,42,Foreign-TH
volume_k,Purchasing at point of sale by e-money,DEC 2016,371,Foreign-TH
value_m,Cash withdrawal,DEC 2016,6498,Foreign-TH
value_m,Cash advance,DEC 2016,7427,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,DEC 2016,18053,Foreign-TH
value_m,Purchasing via online channels by credit cards,DEC 2016,2315,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,DEC 2016,3096,Foreign-TH
value_m,Purchasing via online channels by debit cards,DEC 2016,276,Foreign-TH
value_m,Purchasing at point of sale by e-money,DEC 2016,471,Foreign-TH
volume_k,Cash withdrawal,JAN 2017,1033.0,Foreign-TH
