ChannelType,MeasureName,UsageType,MonthYear,M_Value,TransType
Internet Banking,agreements,,JAN 2017,15728571.0,Online Banking
Internet Banking,volume_k,,JAN 2017,15612.0,Online Banking
Internet Banking,value_b,,JAN 2017,1646.0,Online Banking
Mobile Banking,agreements,,JAN 2017,22497863.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JAN 2017,73483.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JAN 2017,0.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JAN 2017,606.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JAN 2017,0.0,Online Banking
Internet Banking,agreements,,FEB 2017,16175917.0,Online Banking
Internet Banking,volume_k,,FEB 2017,15566.0,Online Banking
Internet Banking,value_b,,FEB 2017,1539.0,Online Banking
Mobile Banking,agreements,,FEB 2017,23187805.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,FEB 2017,75143.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,FEB 2017,2.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,FEB 2017,619.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,FEB 2017,0.0,Online Banking
Internet Banking,agreements,,MAR 2017,16875980.0,Online Banking
Internet Banking,volume_k,,MAR 2017,17808.0,Online Banking
Internet Banking,value_b,,MAR 2017,1756.0,Online Banking
Mobile Banking,agreements,,MAR 2017,24190904.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAR 2017,88094.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAR 2017,13.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAR 2017,713.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAR 2017,0.0,Online Banking
Internet Banking,agreements,,APR 2017,17307590.0,Online Banking
Internet Banking,volume_k,,APR 2017,16183.0,Online Banking
Internet Banking,value_b,,APR 2017,1490.0,Online Banking
Mobile Banking,agreements,,APR 2017,24860386.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,APR 2017,84359.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,APR 2017,28.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,APR 2017,646.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,APR 2017,0.0,Online Banking
Internet Banking,agreements,,MAY 2017,17901793.0,Online Banking
Internet Banking,volume_k,,MAY 2017,18161.0,Online Banking
Internet Banking,value_b,,MAY 2017,1691.0,Online Banking
Mobile Banking,agreements,,MAY 2017,25753826.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAY 2017,95356.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAY 2017,50.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAY 2017,735.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAY 2017,0.0,Online Banking
Internet Banking,agreements,,JUN 2017,18497240,Online Banking
Internet Banking,volume_k,,JUN 2017,18459,Online Banking
Internet Banking,value_b,,JUN 2017,1734,Online Banking
Mobile Banking,agreements,,JUN 2017,26670348,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUN 2017,99051,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUN 2017,74,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUN 2017,741,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUN 2017,0,Online Banking
Internet Banking,agreements,,JUL 2017,19076553.0,Online Banking
Internet Banking,volume_k,,JUL 2017,19236.0,Online Banking
Internet Banking,value_b,,JUL 2017,1640.0,Online Banking
Mobile Banking,agreements,,JUL 2017,27519887.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUL 2017,107211.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUL 2017,93.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUL 2017,774.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUL 2017,0.0,Online Banking
Internet Banking,agreements,,AUG 2017,18607173.0,Online Banking
Internet Banking,volume_k,,AUG 2017,22083.0,Online Banking
Internet Banking,value_b,,AUG 2017,1718.0,Online Banking
Mobile Banking,agreements,,AUG 2017,27637391.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,AUG 2017,115663.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,AUG 2017,318.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,AUG 2017,834.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,AUG 2017,1.0,Online Banking
Internet Banking,agreements,,SEP 2017,19090048.0,Online Banking
Internet Banking,volume_k,,SEP 2017,15313.0,Online Banking
Internet Banking,value_b,,SEP 2017,1746.0,Online Banking
Mobile Banking,agreements,,SEP 2017,28885230.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,SEP 2017,130011.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,SEP 2017,954.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,SEP 2017,895.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,SEP 2017,2.0,Online Banking
Internet Banking,agreements,,OCT 2017,19420767.0,Online Banking
Internet Banking,volume_k,,OCT 2017,15680.0,Online Banking
Internet Banking,value_b,,OCT 2017,1677.0,Online Banking
Mobile Banking,agreements,,OCT 2017,29907878.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,OCT 2017,137889.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,OCT 2017,1278.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,OCT 2017,913.0,Online Banking
