ChannelType,MonthYear,M_Value,PaymentType
EFTPOS Terminal,OCT 2018,840972.0,Terminals
EFTPOS Terminal,NOV 2018,845620.0,Terminals
EFTPOS Terminal,DEC 2018,867440.0,Terminals
EFTPOS Terminal,JAN 2019,880581.0,Terminals
EFTPOS Terminal,FEB 2019,883307.0,Terminals
EFTPOS Terminal,MAR 2019,883088.0,Terminals
EFTPOS Terminal,APR 2019,886309.0,Terminals
EFTPOS Terminal,MAY 2019,893049.0,Terminals
EFTPOS Terminal,JUN 2019,893260.0,Terminals
EFTPOS Terminal,JUL 2019,878837.0,Terminals
EFTPOS Terminal,AUG 2019,877032,Terminals
EFTPOS Terminal,SEP 2019,883012.0,Terminals
EFTPOS Terminal,OCT 2019,889525.0,Terminals
EFTPOS Terminal,NOV 2019,882029.0,Terminals
EFTPOS Terminal,DEC 2019,873309.0,Terminals
EFTPOS Terminal,JAN 2020,882039.0,Terminals
EFTPOS Terminal,FEB 2020,875460.0,Terminals
EFTPOS Terminal,MAR 2020,877566.0,Terminals
EFTPOS Terminal,APR 2020,873722.0,Terminals
EFTPOS Terminal,MAY 2020,880285.0,Terminals
EFTPOS Terminal,JUN 2020,881312.0,Terminals
EFTPOS Terminal,JUL 2020,865258.0,Terminals
EFTPOS Terminal,AUG 2020,870426.0,Terminals
EFTPOS Terminal,SEP 2020,866588.0,Terminals
EFTPOS Terminal,OCT 2020,870883.0,Terminals
EFTPOS Terminal,NOV 2020,870088.0,Terminals
EFTPOS Terminal,DEC 2020,879759.0,Terminals
EFTPOS Terminal,JAN 2021,889278.0,Terminals
EFTPOS Terminal,FEB 2021,890975.0,Terminals
EFTPOS Terminal,MAR 2021,889618.0,Terminals
EFTPOS Terminal,APR 2021,889772.0,Terminals
EFTPOS Terminal,MAY 2021,895290.0,Terminals
EFTPOS Terminal,JUN 2021,898469.0,Terminals
EFTPOS Terminal,JUL 2021,898441.0,Terminals
EFTPOS Terminal,AUG 2021,900009.0,Terminals
EFTPOS Terminal,SEP 2021,914917.0,Terminals
EFTPOS Terminal,OCT 2021,908831.0,Terminals
EFTPOS Terminal,NOV 2021,913092.0,Terminals
EFTPOS Terminal,DEC 2021,915410.0,Terminals
EFTPOS Terminal,JAN 2022,925861.0,Terminals
EFTPOS Terminal,FEB 2022,932825.0,Terminals
EFTPOS Terminal,MAR 2022,934846.0,Terminals
EFTPOS Terminal,APR 2022,934690.0,Terminals
EFTPOS Terminal,MAY 2022,948614.0,Terminals
EFTPOS Terminal,JUN 2022,940568.0,Terminals
EFTPOS Terminal,JUL 2022,945633.0,Terminals
EFTPOS Terminal,AUG 2022,932554.0,Terminals
