ChannelType,UsageType,MonthYear,M_Value,MeasureName,TransType
ATM card,for cash withdrawal,DEC 2023,10331,volume_k,Plastic cards
ATM card,for other purposes,DEC 2023,493,volume_k,Plastic cards
Debit card,for cash withdrawal,DEC 2023,90206,volume_k,Plastic cards
Debit card,for purchasing purpose via EFTPOS,DEC 2023,15817,volume_k,Plastic cards
Debit card,for other purposes,DEC 2023,17845,volume_k,Plastic cards
Credit card,for purchasing purpose,DEC 2023,57771,volume_k,Plastic cards
Credit card,for other purposes,DEC 2023,38111,volume_k,Plastic cards
ATM card,for cash withdrawal,NOV 2023,8490.0,volume_k,Plastic cards
ATM card,for other purposes,NOV 2023,410.0,volume_k,Plastic cards
Debit card,for cash withdrawal,NOV 2023,85888.0,volume_k,Plastic cards
Debit card,for purchasing purpose via EFTPOS,NOV 2023,14586.0,volume_k,Plastic cards
Debit card,for other purposes,NOV 2023,15615.0,volume_k,Plastic cards
Credit card,for purchasing purpose,NOV 2023,54402.0,volume_k,Plastic cards
Credit card,for other purposes,NOV 2023,36513.0,volume_k,Plastic cards
ATM card,for cash withdrawal,OCT 2023,8946.0,volume_k,Plastic cards
ATM card,for other purposes,OCT 2023,437.0,volume_k,Plastic cards
Debit card,for cash withdrawal,OCT 2023,89214.0,volume_k,Plastic cards
Debit card,for purchasing purpose via EFTPOS,OCT 2023,14672.0,volume_k,Plastic cards
Debit card,for other purposes,OCT 2023,14304.0,volume_k,Plastic cards
Credit card,for purchasing purpose,OCT 2023,55806.0,volume_k,Plastic cards
Credit card,for other purposes,OCT 2023,36354.0,volume_k,Plastic cards
ATM card,for cash withdrawal,SEP 2023,9437.0,volume_k,Plastic cards
ATM card,for other purposes,SEP 2023,442.0,volume_k,Plastic cards
Debit card,for cash withdrawal,SEP 2023,88792.0,volume_k,Plastic cards
Debit card,for purchasing purpose via EFTPOS,SEP 2023,14308.0,volume_k,Plastic cards
Debit card,for other purposes,SEP 2023,14179.0,volume_k,Plastic cards
Credit card,for purchasing purpose,SEP 2023,52226.0,volume_k,Plastic cards
Credit card,for other purposes,SEP 2023,34768.0,volume_k,Plastic cards
ATM card,for cash withdrawal,AUG 2023,8874.0,volume_k,Plastic cards
ATM card,for other purposes,AUG 2023,446.0,volume_k,Plastic cards
Debit card,for cash withdrawal,AUG 2023,91703.0,volume_k,Plastic cards
Debit card,for purchasing purpose via EFTPOS,AUG 2023,15053.0,volume_k,Plastic cards
Debit card,for other purposes,AUG 2023,14368.0,volume_k,Plastic cards
Credit card,for purchasing purpose,AUG 2023,55073.0,volume_k,Plastic cards
Credit card,for other purposes,AUG 2023,35594.0,volume_k,Plastic cards
ATM card,for cash withdrawal,JUL 2023,8971.0,volume_k,Plastic cards
