SystemType,ChannelType,MonthYear,M_Value,TransType,MeasureName
EFTPOS Terminal,Credit card,JAN 2010,3563.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2010,80.0,Payment cards,value
ATM,ATM card,JAN 2010,6510.0,Payment cards,value
ATM,Debit card,JAN 2010,9708.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2010,3399.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2010,73.0,Payment cards,value
ATM,ATM card,FEB 2010,6343.0,Payment cards,value
ATM,Debit card,FEB 2010,9432.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2010,4085.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2010,83.0,Payment cards,value
ATM,ATM card,MAR 2010,6740.0,Payment cards,value
ATM,Debit card,MAR 2010,10088.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2010,3633.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2010,73.0,Payment cards,value
ATM,ATM card,APR 2010,6513.0,Payment cards,value
ATM,Debit card,APR 2010,9406.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2010,3580.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2010,69.0,Payment cards,value
ATM,ATM card,MAY 2010,6644.0,Payment cards,value
ATM,Debit card,MAY 2010,9425.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2010,3821.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2010,72.0,Payment cards,value
ATM,ATM card,JUN 2010,6610.0,Payment cards,value
ATM,Debit card,JUN 2010,9561.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2010,3859.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2010,83.0,Payment cards,value
ATM,ATM card,JUL 2010,7139.0,Payment cards,value
ATM,Debit card,JUL 2010,9741.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2010,3958.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2010,75.0,Payment cards,value
ATM,ATM card,AUG 2010,6419.0,Payment cards,value
ATM,Debit card,AUG 2010,9415.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2010,3752,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2010,75,Payment cards,value
ATM,ATM card,SEP 2010,6368,Payment cards,value
ATM,Debit card,SEP 2010,9401,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2010,3949.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2010,85.0,Payment cards,value
ATM,ATM card,OCT 2010,6742.0,Payment cards,value
ATM,Debit card,OCT 2010,9811.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2010,4144.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2010,91.0,Payment cards,value
ATM,ATM card,NOV 2010,6584.0,Payment cards,value
ATM,Debit card,NOV 2010,9642.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2010,4860.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2010,102.0,Payment cards,value
ATM,ATM card,DEC 2010,7533.0,Payment cards,value
ATM,Debit card,DEC 2010,10842.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2011,3969.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2011,168.0,Payment cards,value
ATM,ATM card,JAN 2011,6983.0,Payment cards,value
ATM,Debit card,JAN 2011,10095.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2011,3638.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2011,137.0,Payment cards,value
ATM,ATM card,FEB 2011,6630.0,Payment cards,value
ATM,Debit card,FEB 2011,9654.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2011,4142.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2011,157.0,Payment cards,value
ATM,ATM card,MAR 2011,7366.0,Payment cards,value
ATM,Debit card,MAR 2011,10657.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2011,3927.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2011,148.0,Payment cards,value
ATM,ATM card,APR 2011,7172.0,Payment cards,value
ATM,Debit card,APR 2011,9934.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2011,4378.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2011,176.0,Payment cards,value
ATM,ATM card,MAY 2011,7225.0,Payment cards,value
ATM,Debit card,MAY 2011,10196.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2011,4178.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2011,164.0,Payment cards,value
ATM,ATM card,JUN 2011,7133.0,Payment cards,value
ATM,Debit card,JUN 2011,9923.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2011,4253.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2011,188.0,Payment cards,value
ATM,ATM card,JUL 2011,7293.0,Payment cards,value
ATM,Debit card,JUL 2011,10148.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2011,4399.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2011,282.0,Payment cards,value
ATM,ATM card,AUG 2011,7513.0,Payment cards,value
ATM,Debit card,AUG 2011,10170.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2011,4237.0,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2011,290.0,Payment cards,value
ATM,ATM card,SEP 2011,7418.0,Payment cards,value
ATM,Debit card,SEP 2011,9985.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2011,4056.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2011,196.0,Payment cards,value
ATM,ATM card,OCT 2011,7357.0,Payment cards,value
ATM,Debit card,OCT 2011,9842.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2011,3584.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2011,170.0,Payment cards,value
ATM,ATM card,NOV 2011,6710.0,Payment cards,value
ATM,Debit card,NOV 2011,8949.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2011,5301.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2011,202.0,Payment cards,value
ATM,ATM card,DEC 2011,8503.0,Payment cards,value
ATM,Debit card,DEC 2011,11160.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2012,4610.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2012,193.0,Payment cards,value
ATM,ATM card,JAN 2012,7903.0,Payment cards,value
ATM,Debit card,JAN 2012,8375.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2012,4439.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2012,189.0,Payment cards,value
ATM,ATM card,FEB 2012,7762.0,Payment cards,value
ATM,Debit card,FEB 2012,10541.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2012,4800.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2012,214.0,Payment cards,value
ATM,ATM card,MAR 2012,8455.0,Payment cards,value
ATM,Debit card,MAR 2012,11303.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2012,4672.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2012,176.0,Payment cards,value
ATM,ATM card,APR 2012,7889.0,Payment cards,value
ATM,Debit card,APR 2012,10353.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2012,4721.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2012,192.0,Payment cards,value
ATM,ATM card,MAY 2012,8198.0,Payment cards,value
ATM,Debit card,MAY 2012,10905.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2012,4540.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2012,194.0,Payment cards,value
ATM,ATM card,JUN 2012,8042.0,Payment cards,value
ATM,Debit card,JUN 2012,10615.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2012,4804.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2012,201.0,Payment cards,value
ATM,ATM card,JUL 2012,8061.0,Payment cards,value
ATM,Debit card,JUL 2012,10684.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2012,4637.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2012,193.0,Payment cards,value
ATM,ATM card,AUG 2012,7917.0,Payment cards,value
ATM,Debit card,AUG 2012,10560.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2012,4438.0,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2012,205.0,Payment cards,value
ATM,ATM card,SEP 2012,7774.0,Payment cards,value
ATM,Debit card,SEP 2012,10362.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2012,5042.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2012,196.0,Payment cards,value
ATM,ATM card,OCT 2012,8154.0,Payment cards,value
ATM,Debit card,OCT 2012,10888.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2012,5041.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2012,199.0,Payment cards,value
ATM,ATM card,NOV 2012,8054.0,Payment cards,value
ATM,Debit card,NOV 2012,10675.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2012,6147.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2012,236.0,Payment cards,value
ATM,ATM card,DEC 2012,9189.0,Payment cards,value
ATM,Debit card,DEC 2012,12020.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2013,4779.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2013,209.0,Payment cards,value
ATM,ATM card,JAN 2013,8310.0,Payment cards,value
ATM,Debit card,JAN 2013,10993.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2013,4241.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2013,194.0,Payment cards,value
ATM,ATM card,FEB 2013,8109.0,Payment cards,value
ATM,Debit card,FEB 2013,10681.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2013,4901.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2013,197.0,Payment cards,value
ATM,ATM card,MAR 2013,8924.0,Payment cards,value
ATM,Debit card,MAR 2013,11827.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2013,4828.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2013,190.0,Payment cards,value
ATM,ATM card,APR 2013,8232.0,Payment cards,value
ATM,Debit card,APR 2013,10844.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2013,4862.0,Payment cards,value
