MeasureName,MonthYear,M_Value,TransType,ChannelType
volume_k,DEC 2023,1945084.36,PromptPay,PromptPay
value_b,DEC 2023,4306.92,PromptPay,PromptPay
volume_k,NOV 2023,1831500.67,PromptPay,PromptPay
value_b,NOV 2023,3938.75,PromptPay,PromptPay
volume_k,OCT 2023,1819965.8,PromptPay,PromptPay
value_b,OCT 2023,3920.86,PromptPay,PromptPay
volume_k,SEP 2023,1763692.65,PromptPay,PromptPay
value_b,SEP 2023,3857.39,PromptPay,PromptPay
volume_k,AUG 2023,1747282.07,PromptPay,PromptPay
value_b,AUG 2023,3884.98,PromptPay,PromptPay
volume_k,JUL 2023,1704084.8,PromptPay,PromptPay
value_b,JUL 2023,3845.13,PromptPay,PromptPay
volume_k,JUN 2023,1608882.76,PromptPay,PromptPay
value_b,JUN 2023,3919.19,PromptPay,PromptPay
volume_k,MAY 2023,1563312.88,PromptPay,PromptPay
value_b,MAY 2023,4005.99,PromptPay,PromptPay
volume_k,APR 2023,1455510.68,PromptPay,PromptPay
value_b,APR 2023,3815.27,PromptPay,PromptPay
volume_k,MAR 2023,1563258.76,PromptPay,PromptPay
value_b,MAR 2023,4184.14,PromptPay,PromptPay
volume_k,FEB 2023,1427026.68,PromptPay,PromptPay
value_b,FEB 2023,3767.41,PromptPay,PromptPay
volume_k,JAN 2023,1465138.22,PromptPay,PromptPay
value_b,JAN 2023,3973.43,PromptPay,PromptPay
volume_k,DEC 2022,1492591.76,PromptPay,PromptPay
value_b,DEC 2022,4177.54,PromptPay,PromptPay
volume_k,NOV 2022,1368760.99,PromptPay,PromptPay
value_b,NOV 2022,3796.32,PromptPay,PromptPay
volume_k,OCT 2022,1388564.26,PromptPay,PromptPay
value_b,OCT 2022,3699.59,PromptPay,PromptPay
volume_k,SEP 2022,1400737.73,PromptPay,PromptPay
value_b,SEP 2022,3675.4,PromptPay,PromptPay
volume_k,AUG 2022,1304515.97,PromptPay,PromptPay
value_b,AUG 2022,3740.53,PromptPay,PromptPay
volume_k,JUL 2022,1249564.34,PromptPay,PromptPay
value_b,JUL 2022,3625.45,PromptPay,PromptPay
volume_k,JUN 2022,1161580.47,PromptPay,PromptPay
value_b,JUN 2022,3640.67,PromptPay,PromptPay
volume_k,MAY 2022,1139852.35,PromptPay,PromptPay
value_b,MAY 2022,3608.6,PromptPay,PromptPay
volume_k,APR 2022,1072216.45,PromptPay,PromptPay
value_b,APR 2022,3323.69,PromptPay,PromptPay
volume_k,MAR 2022,1133204.45,PromptPay,PromptPay
value_b,MAR 2022,3529.57,PromptPay,PromptPay
volume_k,FEB 2022,1110435.3,PromptPay,PromptPay
value_b,FEB 2022,3117.83,PromptPay,PromptPay
volume_k,JAN 2022,987444.1,PromptPay,PromptPay
value_b,JAN 2022,3271.24,PromptPay,PromptPay
volume_k,DEC 2021,1120847.64,PromptPay,PromptPay
value_b,DEC 2021,3489.9,PromptPay,PromptPay
volume_k,NOV 2021,1107487.25,PromptPay,PromptPay
value_b,NOV 2021,3178.28,PromptPay,PromptPay
volume_k,OCT 2021,1081826.81,PromptPay,PromptPay
value_b,OCT 2021,3010.85,PromptPay,PromptPay
volume_k,SEP 2021,885926.3,PromptPay,PromptPay
value_b,SEP 2021,2823.65,PromptPay,PromptPay
volume_k,AUG 2021,875367.03,PromptPay,PromptPay
value_b,AUG 2021,2744.14,PromptPay,PromptPay
volume_k,JUL 2021,935623.95,PromptPay,PromptPay
value_b,JUL 2021,2650.23,PromptPay,PromptPay
volume_k,JUN 2021,729033.42,PromptPay,PromptPay
value_b,JUN 2021,2645.01,PromptPay,PromptPay
volume_k,MAY 2021,708007.34,PromptPay,PromptPay
value_b,MAY 2021,2663.01,PromptPay,PromptPay
volume_k,APR 2021,638587.94,PromptPay,PromptPay
value_b,APR 2021,2450.53,PromptPay,PromptPay
volume_k,MAR 2021,707974.79,PromptPay,PromptPay
value_b,MAR 2021,2611.2,PromptPay,PromptPay
volume_k,FEB 2021,624787.92,PromptPay,PromptPay
value_b,FEB 2021,2251.07,PromptPay,PromptPay
volume_k,JAN 2021,651714.77,PromptPay,PromptPay
value_b,JAN 2021,2223.72,PromptPay,PromptPay
volume_k,DEC 2020,624815.23,PromptPay,PromptPay
value_b,DEC 2020,2302.52,PromptPay,PromptPay
volume_k,NOV 2020,605465.49,PromptPay,PromptPay
value_b,NOV 2020,2024.63,PromptPay,PromptPay
volume_k,OCT 2020,519206.61,PromptPay,PromptPay
value_b,OCT 2020,1924.82,PromptPay,PromptPay
volume_k,SEP 2020,469110.61,PromptPay,PromptPay
value_b,SEP 2020,1840.08,PromptPay,PromptPay
volume_k,AUG 2020,479848.53,PromptPay,PromptPay
value_b,AUG 2020,1878.18,PromptPay,PromptPay
volume_k,JUL 2020,459015.58,PromptPay,PromptPay
value_b,JUL 2020,1824.96,PromptPay,PromptPay
volume_k,JUN 2020,435322.51,PromptPay,PromptPay
value_b,JUN 2020,1687.12,PromptPay,PromptPay
volume_k,MAY 2020,418225.25,PromptPay,PromptPay
value_b,MAY 2020,1575.49,PromptPay,PromptPay
volume_k,APR 2020,342905.86,PromptPay,PromptPay
value_b,APR 2020,1355.79,PromptPay,PromptPay
volume_k,MAR 2020,347973.81,PromptPay,PromptPay
value_b,MAR 2020,1556.65,PromptPay,PromptPay
volume_k,FEB 2020,308343.48,PromptPay,PromptPay
value_b,FEB 2020,1416.52,PromptPay,PromptPay
volume_k,JAN 2020,295887.47,PromptPay,PromptPay
value_b,JAN 2020,1419.78,PromptPay,PromptPay
