MeasureName,UsageType,MonthYear,M_Value,TransType
volume_k,Cash withdrawal,JAN 2016,223.0,TH-Aboard
volume_k,Cash advance,JAN 2016,4.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,JAN 2016,1264.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,JAN 2016,988.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,JAN 2016,922.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,JAN 2016,156.0,TH-Aboard
value_m,Cash withdrawal,JAN 2016,2315.0,TH-Aboard
value_m,Cash advance,JAN 2016,38.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,JAN 2016,6809.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,JAN 2016,2533.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,JAN 2016,1278.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,JAN 2016,193.0,TH-Aboard
volume_k,Cash withdrawal,FEB 2016,203.0,TH-Aboard
volume_k,Cash advance,FEB 2016,3.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,FEB 2016,1208.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,FEB 2016,964.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,FEB 2016,926.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,FEB 2016,150.0,TH-Aboard
value_m,Cash withdrawal,FEB 2016,2197.0,TH-Aboard
value_m,Cash advance,FEB 2016,37.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,FEB 2016,6035.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,FEB 2016,2385.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,FEB 2016,1202.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,FEB 2016,193.0,TH-Aboard
volume_k,Cash withdrawal,MAR 2016,242.0,TH-Aboard
volume_k,Cash advance,MAR 2016,4.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,MAR 2016,1445.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,MAR 2016,1085.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,MAR 2016,1000.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,MAR 2016,162.0,TH-Aboard
value_m,Cash withdrawal,MAR 2016,2502.0,TH-Aboard
value_m,Cash advance,MAR 2016,42.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,MAR 2016,7586.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,MAR 2016,2830.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,MAR 2016,1992.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,MAR 2016,213.0,TH-Aboard
volume_k,Cash withdrawal,APR 2016,254.0,TH-Aboard
volume_k,Cash advance,APR 2016,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,APR 2016,1703.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,APR 2016,1059.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,APR 2016,952.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,APR 2016,147.0,TH-Aboard
