PaymentType,SystemType,ChannelType,MonthYear,M_Value,MeasureName,TransType
Cheque,Inhouse,,JAN 2010,2999.0,volume_k,Transactions processed
Cheque,Interbank,,JAN 2010,5739.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,JAN 2010,161.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,JAN 2010,12271.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,JAN 2010,5768.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),JAN 2010,1800.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,JAN 2010,6497.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,JAN 2010,,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,JAN 2010,693.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,JAN 2010,13847.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,JAN 2010,5966.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,JAN 2010,1149.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,JAN 2010,20942.0,volume_k,Transactions processed
e-Payments,e-Money,,JAN 2010,15064.0,volume_k,Transactions processed
Cheque,Inhouse,,FEB 2010,3155.0,volume_k,Transactions processed
Cheque,Interbank,,FEB 2010,5952.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,FEB 2010,160.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,FEB 2010,12825.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,FEB 2010,5809.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),FEB 2010,1890.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,FEB 2010,6770.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,FEB 2010,,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,FEB 2010,706.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,FEB 2010,13773.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,FEB 2010,6136.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,FEB 2010,1057.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,FEB 2010,19446.0,volume_k,Transactions processed
e-Payments,e-Money,,FEB 2010,15059.0,volume_k,Transactions processed
Cheque,Inhouse,,MAR 2010,3790.0,volume_k,Transactions processed
Cheque,Interbank,,MAR 2010,7467.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,MAR 2010,190.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,MAR 2010,13216.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,MAR 2010,6759.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),MAR 2010,1970.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,MAR 2010,7748.0,volume_k,Transactions processed
