MeasureName,BankType,MonthYear,M_Value,TransType
Cards_Account,Bank,JAN 2010,0.37,e-Money
Cards_Account,Non-bank,JAN 2010,9.58,e-Money
Topup_Value,Bank,JAN 2010,22.62,e-Money
Topup_Value,Non-bank,JAN 2010,1356.65,e-Money
Spending_Value,Bank,JAN 2010,25.1,e-Money
Spending_Value,Non-bank,JAN 2010,1329.64,e-Money
Cards_Account,Bank,FEB 2010,0.39,e-Money
Cards_Account,Non-bank,FEB 2010,9.76,e-Money
Topup_Value,Bank,FEB 2010,23.2,e-Money
Topup_Value,Non-bank,FEB 2010,1293.21,e-Money
Spending_Value,Bank,FEB 2010,24.05,e-Money
Spending_Value,Non-bank,FEB 2010,1276.26,e-Money
Cards_Account,Bank,MAR 2010,0.43,e-Money
Cards_Account,Non-bank,MAR 2010,9.7,e-Money
Topup_Value,Bank,MAR 2010,42.18,e-Money
Topup_Value,Non-bank,MAR 2010,1290.2,e-Money
Spending_Value,Bank,MAR 2010,26.95,e-Money
Spending_Value,Non-bank,MAR 2010,1304.6,e-Money
Cards_Account,Bank,APR 2010,0.42,e-Money
Cards_Account,Non-bank,APR 2010,9.68,e-Money
Topup_Value,Bank,APR 2010,14.34,e-Money
Topup_Value,Non-bank,APR 2010,1229.18,e-Money
Spending_Value,Bank,APR 2010,28.63,e-Money
Spending_Value,Non-bank,APR 2010,1207.04,e-Money
Cards_Account,Bank,MAY 2010,0.38,e-Money
Cards_Account,Non-bank,MAY 2010,9.83,e-Money
Topup_Value,Bank,MAY 2010,19.01,e-Money
Topup_Value,Non-bank,MAY 2010,1210.89,e-Money
Spending_Value,Bank,MAY 2010,24.74,e-Money
Spending_Value,Non-bank,MAY 2010,1194.41,e-Money
Cards_Account,Bank,JUN 2010,0.4,e-Money
Cards_Account,Non-bank,JUN 2010,9.99,e-Money
Topup_Value,Bank,JUN 2010,33.25,e-Money
Topup_Value,Non-bank,JUN 2010,1246.32,e-Money
Spending_Value,Bank,JUN 2010,27.6,e-Money
Spending_Value,Non-bank,JUN 2010,1234.34,e-Money
Cards_Account,Bank,JUL 2010,0.4,e-Money
Cards_Account,Non-bank,JUL 2010,10.05,e-Money
Topup_Value,Bank,JUL 2010,35.69,e-Money
Topup_Value,Non-bank,JUL 2010,1367.93,e-Money
Spending_Value,Bank,JUL 2010,34.88,e-Money
Spending_Value,Non-bank,JUL 2010,1357.11,e-Money
Cards_Account,Bank,AUG 2010,0.43,e-Money
Cards_Account,Non-bank,AUG 2010,10.18,e-Money
Topup_Value,Bank,AUG 2010,25.47,e-Money
Topup_Value,Non-bank,AUG 2010,1453.27,e-Money
Spending_Value,Bank,AUG 2010,28.33,e-Money
Spending_Value,Non-bank,AUG 2010,1420.58,e-Money
Cards_Account,Bank,SEP 2010,0.46,e-Money
Cards_Account,Non-bank,SEP 2010,10.38,e-Money
Topup_Value,Bank,SEP 2010,31.0,e-Money
Topup_Value,Non-bank,SEP 2010,1503.2,e-Money
Spending_Value,Bank,SEP 2010,26.4,e-Money
Spending_Value,Non-bank,SEP 2010,1505.9,e-Money
Cards_Account,Bank,OCT 2010,0.47,e-Money
Cards_Account,Non-bank,OCT 2010,10.48,e-Money
Topup_Value,Bank,OCT 2010,26.08,e-Money
Topup_Value,Non-bank,OCT 2010,1625.36,e-Money
Spending_Value,Bank,OCT 2010,29.9,e-Money
Spending_Value,Non-bank,OCT 2010,1605.27,e-Money
Cards_Account,Bank,NOV 2010,0.52,e-Money
Cards_Account,Non-bank,NOV 2010,10.73,e-Money
Topup_Value,Bank,NOV 2010,58.85,e-Money
Topup_Value,Non-bank,NOV 2010,1872.79,e-Money
Spending_Value,Bank,NOV 2010,34.69,e-Money
Spending_Value,Non-bank,NOV 2010,1829.28,e-Money
Cards_Account,Bank,DEC 2010,0.54,e-Money
Cards_Account,Non-bank,DEC 2010,10.95,e-Money
Topup_Value,Bank,DEC 2010,27.81,e-Money
Topup_Value,Non-bank,DEC 2010,2201.33,e-Money
Spending_Value,Bank,DEC 2010,37.79,e-Money
Spending_Value,Non-bank,DEC 2010,2129.54,e-Money
Cards_Account,Bank,JAN 2011,0.49,e-Money
Cards_Account,Non-bank,JAN 2011,11.11,e-Money
Topup_Value,Bank,JAN 2011,32.62,e-Money
Topup_Value,Non-bank,JAN 2011,2053.74,e-Money
Spending_Value,Bank,JAN 2011,34.67,e-Money
Spending_Value,Non-bank,JAN 2011,2024.22,e-Money
Cards_Account,Bank,FEB 2011,0.5,e-Money
Cards_Account,Non-bank,FEB 2011,11.28,e-Money
Topup_Value,Bank,FEB 2011,29.01,e-Money
