BankType,ChannelType,MonthYear,M_Value,MeasureName,TransType
Bank,Counter,JAN 2010,693.1,volume_k,e-Payments (Royal Decree)
Bank,ATM,JAN 2010,22234.85,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,JAN 2010,14894.13,volume_k,e-Payments (Royal Decree)
Bank,Internet,JAN 2010,4178.76,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,JAN 2010,1217.13,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,JAN 2010,867.25,volume_k,e-Payments (Royal Decree)
Bank,Telephone,JAN 2010,289.38,volume_k,e-Payments (Royal Decree)
Bank,Others,JAN 2010,524.94,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,JAN 2010,891.79,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,JAN 2010,7049.32,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,JAN 2010,6617.03,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,JAN 2010,25.53,volume_k,e-Payments (Royal Decree)
Non-bank,Others,JAN 2010,1705.08,volume_k,e-Payments (Royal Decree)
Bank,Counter,FEB 2010,706.11,volume_k,e-Payments (Royal Decree)
Bank,ATM,FEB 2010,22306.41,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,FEB 2010,13895.27,volume_k,e-Payments (Royal Decree)
Bank,Internet,FEB 2010,4365.36,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,FEB 2010,1204.3,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,FEB 2010,892.74,volume_k,e-Payments (Royal Decree)
Bank,Telephone,FEB 2010,274.86,volume_k,e-Payments (Royal Decree)
Bank,Others,FEB 2010,494.56,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,FEB 2010,1065.93,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,FEB 2010,6442.23,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,FEB 2010,6806.02,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,FEB 2010,24.21,volume_k,e-Payments (Royal Decree)
Non-bank,Others,FEB 2010,1744.0,volume_k,e-Payments (Royal Decree)
Bank,Counter,MAR 2010,791.68,volume_k,e-Payments (Royal Decree)
Bank,ATM,MAR 2010,23680.27,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,MAR 2010,15792.33,volume_k,e-Payments (Royal Decree)
Bank,Internet,MAR 2010,5033.94,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,MAR 2010,1308.96,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,MAR 2010,928.45,volume_k,e-Payments (Royal Decree)
Bank,Telephone,MAR 2010,306.36,volume_k,e-Payments (Royal Decree)
Bank,Others,MAR 2010,547.29,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,MAR 2010,1076.03,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,MAR 2010,7288.78,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,MAR 2010,7697.36,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,MAR 2010,26.43,volume_k,e-Payments (Royal Decree)
Non-bank,Others,MAR 2010,1618.13,volume_k,e-Payments (Royal Decree)
Bank,Counter,APR 2010,652.27,volume_k,e-Payments (Royal Decree)
Bank,ATM,APR 2010,21372.54,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,APR 2010,14468.9,volume_k,e-Payments (Royal Decree)
Bank,Internet,APR 2010,4660.06,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,APR 2010,1210.28,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,APR 2010,893.24,volume_k,e-Payments (Royal Decree)
